Method,AURC_Balanced,AURC_Worst,AURC_Balanced_Std,AURC_Worst_Std,Head_Coverage,Tail_Coverage
AR-GSE (Ours),0.118,0.142,0.003,0.005,0.561,0.442
Standard Plugin,0.125,0.158,0.005,0.008,0.548,0.398
Static Ensemble,0.132,0.165,0.006,0.009,0.532,0.385
CE Baseline,0.142,0.185,0.008,0.012,0.485,0.325
LogitAdjust,0.135,0.172,0.007,0.01,0.518,0.378
BalancedSoftmax,0.138,0.168,0.007,0.009,0.525,0.365
