metric,threshold,coverage,risk
balanced,-0.28090500831604004,0.04762500151991844,0.5601353347301483
balanced,-0.3802070915699005,0.22699999809265137,0.10539641976356506
balanced,-0.3826364278793335,0.22949999570846558,0.10530003905296326
balanced,-0.388781875371933,0.23487499356269836,0.10621553659439087
balanced,-0.4013492166996002,0.24787500500679016,0.10974887013435364
balanced,-0.4216788411140442,0.26462501287460327,0.11285069584846497
balanced,-0.43997371196746826,0.2815000116825104,0.11594077944755554
balanced,-0.46074673533439636,0.2994999885559082,0.128106027841568
balanced,-0.4918978214263916,0.33012500405311584,0.1692637801170349
balanced,-0.5250713229179382,0.3581250011920929,0.19522753357887268
balanced,-0.5549405813217163,0.38737499713897705,0.2230963408946991
balanced,-0.5865978002548218,0.41612499952316284,0.2460312843322754
balanced,-0.6140986084938049,0.4465000033378601,0.27094030380249023
balanced,-0.6465966105461121,0.4856249988079071,0.29745715856552124
balanced,-0.6736867427825928,0.515250027179718,0.31142565608024597
balanced,-0.7010126709938049,0.5494999885559082,0.33421120047569275
balanced,-0.7234398126602173,0.5738750100135803,0.3448275625705719
balanced,-0.7497774362564087,0.6051250100135803,0.36294159293174744
balanced,-0.77291339635849,0.6358749866485596,0.38158373534679413
balanced,-0.794430136680603,0.6669999957084656,0.39499807357788086
balanced,-0.8183713555335999,0.6984999775886536,0.411819264292717
balanced,-0.8401782512664795,0.7300000190734863,0.4243771582841873
balanced,-0.8628180027008057,0.7628750205039978,0.4427332282066345
balanced,-0.886335551738739,0.7922499775886536,0.4557158201932907
balanced,-0.9092121720314026,0.8242499828338623,0.47117428481578827
balanced,-0.9307906031608582,0.8500000238418579,0.48295243084430695
balanced,-0.959222137928009,0.8796250224113464,0.49410098791122437
balanced,-0.9849405884742737,0.9056249856948853,0.5053015649318695
balanced,-1.0167797803878784,0.9288750290870667,0.5150618851184845
balanced,-1.0533733367919922,0.952750027179718,0.5239024013280869
balanced,-1.1432180404663086,0.9851250052452087,0.5381089299917221
worst,-0.28090500831604004,0.04762500151991844,1.0
worst,-0.3802070915699005,0.22699999809265137,0.1413172483444214
worst,-0.3826364278793335,0.22949999570846558,0.14074420928955078
worst,-0.388781875371933,0.23487499356269836,0.14129912853240967
worst,-0.4013492166996002,0.24787500500679016,0.14410269260406494
worst,-0.4216788411140442,0.26462501287460327,0.14532339572906494
worst,-0.43997371196746826,0.2815000116825104,0.14429527521133423
worst,-0.46074673533439636,0.2994999885559082,0.15952283143997192
worst,-0.4918978214263916,0.33012500405311584,0.2348564863204956
worst,-0.5250713229179382,0.3581250011920929,0.2723122835159302
worst,-0.5549405813217163,0.38737499713897705,0.3171282410621643
worst,-0.5865978002548218,0.41612499952316284,0.3471136689186096
worst,-0.6140986084938049,0.4465000033378601,0.3813256621360779
worst,-0.6465966105461121,0.4856249988079071,0.41311872005462646
worst,-0.6736867427825928,0.515250027179718,0.42842763662338257
worst,-0.7010126709938049,0.5494999885559082,0.4558182954788208
worst,-0.7234398126602173,0.5738750100135803,0.4677134156227112
worst,-0.7497774362564087,0.6051250100135803,0.4874321222305298
worst,-0.77291339635849,0.6358749866485596,0.5117206275463104
worst,-0.794430136680603,0.6669999957084656,0.5259237289428711
worst,-0.8183713555335999,0.6984999775886536,0.5454353392124176
worst,-0.8401782512664795,0.7300000190734863,0.5588372647762299
worst,-0.8628180027008057,0.7628750205039978,0.5804287791252136
worst,-0.886335551738739,0.7922499775886536,0.5954312384128571
worst,-0.9092121720314026,0.8242499828338623,0.6181201636791229
worst,-0.9307906031608582,0.8500000238418579,0.631732851266861
worst,-0.959222137928009,0.8796250224113464,0.6470558643341064
worst,-0.9849405884742737,0.9056249856948853,0.6624060869216919
worst,-1.0167797803878784,0.9288750290870667,0.6747252941131592
worst,-1.0533733367919922,0.952750027179718,0.6873855292797089
worst,-1.1432180404663086,0.9851250052452087,0.7108123600482941
